Date,Name,Year,Letterboxd URI
2019-08-25,The Godfather: Part III,1990,https://letterboxd.com/film/the-godfather-part-iii/
2019-08-25,Midsommar,2019,https://letterboxd.com/film/midsommar/
2019-08-25,Get Out,2017,https://letterboxd.com/film/get-out-2017/
2019-08-25,The Favourite,2018,https://letterboxd.com/film/the-favourite/
2019-08-25,Alien,1979,https://letterboxd.com/film/alien/
2019-08-25,The Prestige,2006,https://letterboxd.com/film/the-prestige/
2019-08-25,Roma,2018,https://letterboxd.com/film/roma-2018/
2019-08-25,One Flew Over the Cuckoo's Nest,1975,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/
2019-08-25,The Sixth Sense,1999,https://letterboxd.com/film/the-sixth-sense/
2019-08-25,12 Years a Slave,2013,https://letterboxd.com/film/12-years-a-slave/
2019-08-25,Citizen Kane,1941,https://letterboxd.com/film/citizen-kane/
2019-08-25,Howl's Moving Castle,2004,https://letterboxd.com/film/howls-moving-castle/
2019-08-25,First Reformed,2017,https://letterboxd.com/film/first-reformed/
2019-08-25,Mean Girls,2004,https://letterboxd.com/film/mean-girls/
2019-08-25,The Green Mile,1999,https://letterboxd.com/film/the-green-mile/
2019-08-25,Seven Samurai,1954,https://letterboxd.com/film/seven-samurai/
2019-08-25,The Disaster Artist,2017,https://letterboxd.com/film/the-disaster-artist/
2019-08-25,Akira,1988,https://letterboxd.com/film/akira/
2019-08-25,City of God,2002,https://letterboxd.com/film/city-of-god/
2019-08-25,The Devil Wears Prada,2006,https://letterboxd.com/film/the-devil-wears-prada/
2019-08-25,"Synecdoche, New York",2008,https://letterboxd.com/film/synecdoche-new-york/
2019-08-25,21 Jump Street,2012,https://letterboxd.com/film/21-jump-street/
2019-08-25,Vice,2018,https://letterboxd.com/film/vice-2018/
2019-08-25,The Texas Chain Saw Massacre,1974,https://letterboxd.com/film/the-texas-chain-saw-massacre/
2019-08-25,If Beale Street Could Talk,2018,https://letterboxd.com/film/if-beale-street-could-talk/
2019-08-25,Pirates of the Caribbean: Dead Man's Chest,2006,https://letterboxd.com/film/pirates-of-the-caribbean-dead-mans-chest/
2019-08-30,Young Adult,2011,https://letterboxd.com/film/young-adult/
2019-08-30,Higher Ground,2011,https://letterboxd.com/film/higher-ground/
